Berufsbezeichnung,Jährlicher Durchschnitt Männlich (Brutto),Jährlicher Durchschnitt Weiblich (Brutto),Diskrepanz
Management Direktor/in,206443.44,121846.15,-84597.29
Richter/in,189467.69,110769.23,-78698.46
Leiter/in Produktentwicklung,133274.73,66000,-67274.73
Account Direktor/in,168000,108369.23,-59630.77
Medical Writer,166153.85,107743.59,-58410.26
Fachinformatiker/in,90481.83,33230.77,-57251.06
IT Change Manager/in,142833.33,89550,-53283.33
HR Manager/in,157784.62,105711.94,-52072.68
Chefarzt/ärztin,239399.57,193333.33,-46066.24
Business Unit Manager/in,161364.1,117938.46,-43425.64
Vorsorgeberater/in,107794.87,67384.62,-40410.25
Automobilverkäufer/in,73534.97,34200,-39334.97
Verkaufsleiter/in,126634.38,91253.85,-35380.53
Senior Business Analyst/in,130707.46,95538.46,-35169
Personaldisponent/in,95057.69,60000,-35057.69
Stabsmitarbeiter/in,120000,85502.77,-34497.23
Backoffice Manager/in,112384.62,78923.08,-33461.54
Personalmanager/in,133333.33,100330.77,-33002.56
Chef/in Labor,101458.46,69230.77,-32227.69
Geschäftsführer/in,184787.8,152932.54,-31855.26
Producer/in,64790.77,34633.85,-30156.92
Reitlehrer/in,71538.46,41538.46,-30000
Legal Counsel,140555.77,111057.69,-29498.08
Senior Data Scientist/in,143115.38,113676.92,-29438.46
Pharmareferent/in,94051.69,64615.38,-29436.31
Orthopädie Schuhmacher/in,85697.12,56400,-29297.12
Immobilienmakler/in,99461.54,70393.85,-29067.69
Unternehmensberater/in,141044.44,112269.23,-28775.21
Editor/in,115050,86307.69,-28742.31
Arzt/Ärztin,130971.54,102270.01,-28701.53
Risikomanager/in,120815.38,92307.69,-28507.69
HR Consultant,111384.62,82969.23,-28415.39
Kaufmännische/r Leiter/in,104025.64,76000,-28025.64
Betriebsleiter/in,93206.97,65593.13,-27613.84
Stellvertretende/r Geschäftsführer/in,113249.23,86025.64,-27223.59
Großhandelskauffrau/mann,73846.15,47224.62,-26621.53
Verkehrsplaner/in,92288.31,66157.69,-26130.62
IT Anwendungsbetreuer/in,95219.78,69600,-25619.78
Patentingenieur/in,114000,88615.38,-25384.62
3D Visualisierer/in,69673.08,44307.69,-25365.39
Zimmerer/Zimmerin,61375.18,36138.46,-25236.72
Pharmakant/in,98769.23,73615.38,-25153.85
ICT Projektleiter/in,117204.38,92307.69,-24896.69
Asset Controller/in,105230.77,80500,-24730.77
Ingenieur/in Universität,105384.15,80769.23,-24614.92
Betriebswirt/in,74453.85,49846.15,-24607.7
Risk Manager/in,128191.33,103772.67,-24418.66
Fachplaner/in,80815.38,56400,-24415.38
Export Manager/in,109371.79,85323.08,-24048.71
Optiker/in,83076.92,59076.92,-24000
Bestatter/in,71662.49,47693.91,-23968.58
Projektleiter/in Marketing,108349.04,84472.82,-23876.22
Pflegedienstleiter/in,111793.13,88042.23,-23750.9
Compliance Officer,119653.85,96153.85,-23500
Prozessingenieur/in,89735.38,66415.38,-23320
Uhrmachermeister/in,90382.05,67200,-23182.05
Anlagenbuchhalter/in,100153.85,77169.23,-22984.62
Modedesigner/in,87000,64141.22,-22858.78
Facharzt/-ärztin Allgemeinchirurgie,197179.49,174358.97,-22820.52
Steuerberater/in,140336.54,117692.31,-22644.23
Gemeindeschreiber/in,129969.23,107384.62,-22584.61
Manager/in,127846.15,105500,-22346.15
Reiseverkehrskaufmann/frau,79338.27,57092.31,-22245.96
Arzt/Ärztin für Versicherungsmedizin,180000,158307.69,-21692.31
Senior E-Commerce Manager/in,88030.77,66492,-21538.77
Group Accountant,100365.38,79021.54,-21343.84
HR Spezialist/in,115384.62,94139.78,-21244.84
Stellvertretende/r Marktleiter/in,71353.85,50190.77,-21163.08
Kundenbetreuer/in,74516.92,53367.46,-21149.46
Security Analyst/in,117110.88,96000,-21110.88
Berater/in Einkauf/Beschaffung,97446.15,76923.08,-20523.07
Marketingleiter/in,153105.27,132759.62,-20345.65
Pharmaassistent/in,69230.77,49078.92,-20151.85
PR-Berater/in,75461.54,55384.62,-20076.92
Einzelhandelskauffrau/mann,87032.97,66969.23,-20063.74
Projektmanager/in,102826.54,82766.15,-20060.39
Programm Manager/in,126449.23,106420,-20029.23
Bauführer/in,92666.36,72876.92,-19789.44
IT Projektleiter/in,118494.95,98729.67,-19765.28
Category Field Manager/in,110769.23,91016.77,-19752.46
Versicherungskaufmann/kauffrau,88167.83,68560.14,-19607.69
Fremdsprachenlehrer/in,74584.62,55299.15,-19285.47
Psychiatriepflege/r,84369.23,65200,-19169.23
IT-Administrator,83653.1,64615.38,-19037.72
Sekundarlehrer/in,109470.78,90442.31,-19028.47
Elektromonteur/in,65155.06,46153.85,-19001.21
Produktentwickler/in,91332.72,72461.54,-18871.18
Sacharbeiter/in Inkasso,74615.38,55753.85,-18861.53
Sommelier/Sommelière,64615.38,45769.23,-18846.15
Rechtsanwalt/Rechtsanwältin,143433.32,124770.23,-18663.09
Berater/in,82746.15,64753.85,-17992.3
Sanitärplaner/in,65764.62,48000,-17764.62
Versicherungsberater/in,100990.77,83367.03,-17623.74
Art Director/in,88726.92,71148.08,-17578.84
Greenkeeper,78165.03,60600,-17565.03
Senior Controller/in,123245.72,106039.56,-17206.16
